user_gender,user_age,user_occupation,user_income_level,user_experience,user_tech_familiarity,user_purchase_purpose,user_region,user_education_level,user_usage_frequency,user_brand_loyalty,product_name,product_category,product_price_range,product_brand,product_model_number,product_specifications,product_warranty_period,product_expiration_date,product_material,product_weight,product_dimensions,product_package_info,product_energy_efficiency,product_safety_certifications,product_usage_instructions,product_features,rating,content,sentiment,experience,pros,cons,sentiment_score,quality_score,generation_time
男,30,工程师,中等,熟练,,个人使用,南方城市,,经常,,测试产品,electronics,1000-2000元,,,,,,,,,,,,,"['功能1', '功能2']",3.894100662453287,"作为一位工程师，我对测试产品的评价如下：

[使用体验]
使用体验不错

[优点]
- 功能2
- 性价比高
- 质量可靠

[缺点]
- 有待改进
- 可以更好

[总体评价]
可以考虑

评分：4分
",positive,使用体验良好,"['优点1', '优点2']",['缺点1'],0.6,0.6,2025-05-21T17:27:00.915084
男,30,工程师,中等,熟练,,个人使用,南方城市,,经常,,测试产品,electronics,1000-2000元,,,,,,,,,,,,,"['功能1', '功能2']",4.542425711601787,"作为一位工程师，我对测试产品的评价如下：

[使用体验]
基本满足需求

[优点]
- 功能2
- 性价比高
- 质量可靠

[缺点]
- 有待改进
- 可以更好

[总体评价]
值得考虑

评分：5分
",positive,使用体验良好,"['优点1', '优点2']",['缺点1'],0.6,0.6,2025-05-21T17:35:01.182496
男,30,工程师,中等,熟练,,个人使用,南方城市,,经常,,测试产品,electronics,1000-2000元,,,,,,,,,,,,,"['功能1', '功能2']",4.0,作为一名30岁的工程师，我对这款测试产品的整体表现感到满意。它的功能1和功能2非常符合我的日常使用需求，运行速度快，稳定性好，完全满足了我作为熟练用户的技术要求。硬件配置在同价位产品中算是相当不错，外观设计简洁大方，符合我的审美。软件体验方面，系统流畅，App兼容性良好，没有遇到明显的兼容问题。电池续航能力令人满意，即使在高强度使用下也能保持较长时间的工作，散热表现也相当不错，长时间使用后机身只是微温。售后服务响应迅速，质保政策透明，让人购买后无后顾之忧。唯一的缺点是功能丰富度还有提升空间，希望能加入更多实用功能以满足不同用户的需求。,积极,,[],[],0.85,0.9,2025-05-21T17:37:08.554854
男,35,软件架构师,较高,非常熟练,,家庭与工作两用,深圳,,每天,,小米14 Pro,electronics,4500-6000元,,,,,,,,,,,,,"['徕卡影像', '第三代骁龙8', 'LTPO OLED 屏幕', '120W快充', 'IP68防水']",5.0,作为一名软件架构师，我对小米14 Pro的性能和设计非常满意。第三代骁龙8处理器确保了无论是日常使用还是高强度工作都能流畅运行，LTPO OLED屏幕的显示效果令人印象深刻，色彩鲜艳且细节丰富。徕卡影像系统让拍照成为一种享受，照片质量堪比专业相机。120W快充技术大大缩短了充电时间，非常适合我这种每天都需要使用手机的人。IP68防水设计让我在深圳多雨的季节也能无忧使用。系统流畅度极佳，App兼容性良好，没有遇到任何问题。电池续航表现出色，即使长时间使用也能保持稳定的性能，散热表现也很不错。售后服务响应迅速，质保政策让人放心。唯一的缺点是价格略高，但对于我这样的高收入用户来说完全在可接受范围内。,积极,,[],[],0.95,0.95,2025-05-21T17:50:49.704830
男,35,软件架构师,较高,非常熟练,,家庭与工作两用,深圳,,每天,,小米14 Pro,electronics,4500-6000元,,,,,,,,,,,,,"['徕卡影像', '第三代骁龙8', 'LTPO OLED 屏幕', '120W快充', 'IP68防水']",5.0,作为一名软件架构师，我对小米14 Pro的性能和设计感到非常满意。第三代骁龙8处理器确保了无论是日常使用还是高强度的工作任务都能流畅运行，LTPO OLED屏幕的显示效果令人印象深刻，色彩鲜艳且细节丰富。徕卡影像系统让拍照成为一种享受，无论是工作记录还是家庭生活，都能捕捉到高质量的画面。120W快充极大地提升了使用效率，短时间内即可充满电，非常适合我这种使用频率高的用户。IP68防水设计让我在深圳多雨的天气中也能无忧使用。系统流畅度和App兼容性都很好，没有遇到任何问题。电池续航和散热表现都超出了我的预期，即使长时间使用也不会感到不适。售后服务响应迅速，质保政策让人放心。总的来说，小米14 Pro是一款非常适合技术专业人士的高端智能手机，强烈推荐。,积极,,[],[],0.95,0.95,2025-05-21T18:08:33.381891
男,35,软件架构师,较高,非常熟练,,家庭与工作两用,深圳,,每天,,小米14 Pro,electronics,4500-6000元,,,,,,,,,,,,,"['徕卡影像', '第三代骁龙8', 'LTPO OLED 屏幕', '120W快充', 'IP68防水']",5.0,作为一名软件架构师，我对小米14 Pro的性能和设计感到非常满意。第三代骁龙8处理器确保了无论是日常使用还是高强度的工作任务都能流畅运行，LTPO OLED屏幕的显示效果令人印象深刻，色彩鲜艳且细节丰富。徕卡影像系统让拍照成为一种享受，无论是工作记录还是家庭生活，都能捕捉到高质量的照片。120W快充技术大大缩短了充电时间，IP68防水等级让我在使用时更加放心。电池续航表现出色，即使是在频繁使用的情况下也能轻松撑过一天。系统流畅度和App兼容性都非常好，没有遇到任何问题。外观设计时尚，手感极佳，完全符合我的审美。售后服务响应迅速，质保政策让人安心。总的来说，小米14 Pro是一款非常适合高收入、高使用频率用户的旗舰手机，强烈推荐。,积极,,[],[],0.95,0.95,2025-05-21T18:19:04.196466
男,35,软件架构师,较高,非常熟练,,家庭与工作两用,深圳,,每天,,小米14 Pro,electronics,4500-6000元,,,,,,,,,,,,,"['徕卡影像', '第三代骁龙8', 'LTPO OLED 屏幕', '120W快充', 'IP68防水']",5.0,作为一名软件架构师，我对小米14 Pro的性能和设计感到非常满意。第三代骁龙8处理器确保了无论是日常使用还是高强度的编程工作都能流畅运行，LTPO OLED屏幕的显示效果令人印象深刻，色彩鲜艳且细节丰富。120W快充技术大大缩短了充电时间，非常适合我这种使用频率高的用户。徕卡影像系统在拍摄文档和偶尔的家庭照片时表现出色，IP68防水也让我在使用时更加放心。系统流畅度和App兼容性都非常好，没有遇到任何问题。电池续航和散热表现也达到了我的预期，即使长时间使用也不会感到不适。售后服务响应迅速，质保政策让人安心。总体来说，小米14 Pro是一款非常适合技术专业人士的高性能手机。,积极,,[],[],0.95,0.95,2025-05-21T18:45:04.870766
男,35,软件架构师,较高,非常熟练,,家庭与工作两用,深圳,,每天,,小米14 Pro,electronics,4500-6000元,,,,,,,,,,,,,"['徕卡影像', '第三代骁龙8', 'LTPO OLED 屏幕', '120W快充', 'IP68防水']",5.0,作为一名软件架构师，我对小米14 Pro的性能和功能感到非常满意。第三代骁龙8处理器确保了无论是日常使用还是高强度的工作任务都能流畅运行，LTPO OLED屏幕的显示效果令人印象深刻，色彩鲜艳且细节丰富。徕卡影像系统让拍照成为一种享受，无论是工作记录还是家庭生活，都能捕捉到高质量的瞬间。120W快充技术大大缩短了充电时间，而IP68防水则让使用更加无忧。系统流畅度和App兼容性都非常好，电池续航和散热表现也超出了我的预期。售后服务响应迅速，质保政策让人放心。唯一的不足可能是对于非技术用户来说，某些高级功能可能需要时间去适应。总的来说，小米14 Pro是一款非常适合技术专业人士的高性能手机。,积极,,[],[],0.9,0.95,2025-05-21T18:46:57.897145
男,35,软件架构师,较高,非常熟练,,家庭与工作两用,深圳,,每天,,小米14 Pro,electronics,4500-6000元,,,,,,,,,,,,,"['徕卡影像', '第三代骁龙8', 'LTPO OLED 屏幕', '120W快充', 'IP68防水']",5.0,作为一名软件架构师，我对小米14 Pro的表现感到非常满意。第三代骁龙8处理器确保了无论是日常使用还是高强度工作都能保持流畅，LTPO OLED屏幕的显示效果令人印象深刻，色彩鲜艳且细节丰富。徕卡影像系统让拍照成为一种享受，照片质量远超预期。120W快充技术大大缩短了充电时间，非常适合我这种使用频率高的用户。IP68防水设计给了我额外的安心感。系统流畅度和App兼容性都非常好，没有遇到任何问题。电池续航和散热表现也达到了我的高标准。售后服务响应迅速，质保政策让人放心。总的来说，小米14 Pro是一款性价比极高的旗舰手机，完全满足了我的家庭与工作两用需求。,积极,,[],[],0.95,0.95,2025-05-21T18:56:37.051159
男,35,软件架构师,较高,非常熟练,,家庭与工作两用,深圳,,每天,,小米14 Pro,electronics,4500-6000元,,,,,,,,,,,,,"['徕卡影像', '第三代骁龙8', 'LTPO OLED 屏幕', '120W快充', 'IP68防水']",5.0,作为一名软件架构师，我对小米14 Pro的性能和设计感到非常满意。第三代骁龙8处理器确保了无论是日常使用还是高强度工作都能保持流畅，LTPO OLED屏幕的显示效果令人印象深刻，色彩鲜艳且细节丰富。120W快充技术大大缩短了充电时间，非常适合我这种使用频率高的用户。徕卡影像系统让拍照成为一种享受，无论是工作记录还是家庭生活，都能捕捉到高质量的画面。IP68防水功能给了我额外的安心。虽然价格不菲，但考虑到其卓越的性能和设计，我认为这是一笔值得的投资。唯一的缺点是电池在高强度使用下续航略显不足，但快充功能很大程度上弥补了这一点。,积极,,[],[],0.9,0.95,2025-05-21T19:52:11.463460
男,35,软件架构师,较高,非常熟练,,家庭与工作两用,深圳,,每天,,小米14 Pro,electronics,4500-6000元,,,,,,,,,,,,,"['徕卡影像', '第三代骁龙8', 'LTPO OLED 屏幕', '120W快充', 'IP68防水']",5.0,作为一名软件架构师，我对小米14 Pro的表现感到非常满意。第三代骁龙8处理器确保了无论是日常使用还是高强度工作都能流畅运行，LTPO OLED屏幕的显示效果令人印象深刻，色彩鲜艳且细节丰富。徕卡影像系统让拍照成为一种享受，无论是工作记录还是家庭生活，都能捕捉到高质量的画面。120W快充极大地提升了使用效率，短时间内即可充满电，非常适合我这种使用频率高的用户。IP68防水设计让我在深圳多雨的气候中也能无忧使用。系统流畅度和App兼容性都非常好，没有遇到任何问题。电池续航和散热表现也超出了我的预期，即使长时间使用也不会感到不适。售后服务响应迅速，质保政策让人放心。总的来说，小米14 Pro是一款非常适合技术专业人士的高性能手机，强烈推荐。,积极,,[],[],0.95,0.95,2025-05-21T19:57:52.533586
